week,name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
1,M.Williams,00-0030110,yes,NE,TE,,,,,,,,,,,,,,,,,,,,8,8,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C.Jones,00-0029585,yes,NE,DE,2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,T.Brown,00-0025534,yes,NE,CB,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,J.Mayo,00-0026150,yes,NE,MLB,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,J.Collins,00-0030421,yes,NE,OLB,3,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D.Harmon,00-0030383,yes,NE,CB,1,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B.Fletcher,00-0027041,yes,NE,DB,2,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A.Branch,00-0025420,yes,NE,DT,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P.Chung,00-0027010,yes,NE,SS,3,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,R.Ninkovich,00-0024349,yes,NE,DE,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D.McCourty,00-0027647,yes,NE,FS,2,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,M.Butler,00-0031218,yes,NE,CB,2,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,G.Grissom,00-0031940,yes,NE,OLB,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,S.Siliga,00-0028256,yes,NE,DT,2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,M.Brown,00-0032261,yes,NE,DT,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,J.Sheard,00-0027975,yes,NE,DE,1,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D.Hightower,00-0029669,yes,NE,OLB,2,0,0,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B.Roethlisberger,00-0022924,no,PIT,QB,,,,,,,,,,,,,,,,,,,,,,,,,38,26,1,1,1,1,351,,,,,,,,,,,,,,,,,,,,,,,,
1,W.Johnson,00-0028841,no,PIT,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,1,1,0,0,7
1,De.Williams,00-0024242,no,PIT,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,1,0,0,0,5,21,28,0,0,0,0,127
1,T.Murphy,00-0031816,no,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0,1,0,0,0,16,,,,,,,
1,D.Heyward-Bey,00-0026983,no,PIT,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,0,4,0,0,0,58,,,,,,,
1,M.Wheaton,00-0030460,no,PIT,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,0,3,0,1,1,55,,,,,,,
1,H.Miller,00-0023465,no,PIT,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0,8,0,0,0,84,,,,,,,
1,A.Brown,00-0027793,no,PIT,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,1,0,37,11,9,1,0,0,133,,,,,,,
1,J.Scobee,00-0022874,no,PIT,,,,,,,,,,,,4,2,44,6,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,J.Berry,00-0031502,no,PIT,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,0,50,2,87,,,,,,,,,,,,,,,,,,,
1,D.Archer,00-0031392,no,PIT,RB,,,,,,,,,,,,,,,,,,,,22,22,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D.McCullers,00-0031193,no,PIT,NT,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A.Blake,00-0029050,no,PIT,CB,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,S.McLendon,00-0026564,no,PIT,NT,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,S.Tuitt,00-0031412,no,PIT,DE,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,R.Shazier,00-0031365,no,PIT,ILB,2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,J.Harrison,00-0020712,no,PIT,OLB,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,M.Mitchell,00-0027023,no,PIT,FS,1,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,J.Jones,00-0030499,no,PIT,OLB,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C.Thomas,00-0027745,no,PIT,DE,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B.Dupree,00-0032146,no,PIT,LB,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,S.Thomas,00-0030412,no,PIT,SS,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C.Heyward,00-0027969,no,PIT,DE,3,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,R.Golden,00-0028954,no,PIT,SAF,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,W.Gay,00-0025557,no,PIT,CB,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,L.Timmons,00-0025402,no,PIT,ILB,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C.Allen,00-0028066,no,PIT,CB,3,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,W.Allen,00-0022900,no,PIT,SS,0,0,0,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,J.Cutler,00-0024226,yes,CHI,QB,,,,,,,,,,,,,,,,,,,,,,,,,36,18,1,1,0,0,225,,,,,,,,,,,,,,,,,,4,12,0,0,0,0,31
1,J.Rodgers,00-0028083,yes,CHI,RB,,,,,,,,,,,,,,,,,,,,15,15,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,0,0,0,16
1,J.Langford,00-0031569,yes,CHI,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,1
1,M.Forte,00-0026184,yes,CHI,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,5,0,0,0,25,24,23,1,1,0,0,141
1,M.Bennett,00-0026201,yes,CHI,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,5,1,0,0,55,,,,,,,
1,A.Jeffery,00-0029137,yes,CHI,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,5,0,0,0,78,,,,,,,
1,M.Wilson,00-0030047,yes,CHI,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,0,2,0,0,0,59,,,,,,,
1,E.Royal,00-0026182,yes,CHI,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,1,0,0,0,8,,,,,,,
1,R.Gould,00-0023252,yes,CHI,K,,,,,,,,,,,3,3,50,9,2,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P.O'Donnell,00-0031079,yes,CHI,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,0,56,1,56,,,,,,,,,,,,,,,,,,,
1,M.Mariani,00-0027816,yes,CHI,WR,,,,,,,,,,,,,,,,,,,,24,25,0,2,0,,,,,,,,,,,,,11,11,0,1,0,,,,,,,,,,,,,,
1,P.McPhee,00-0028103,yes,CHI,OLB,1,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A.Ball,00-0025624,yes,CHI,CB,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,W.Young,00-0027808,yes,CHI,LB,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A.Amos,00-0031584,yes,CHI,FS,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,S.McClellin,00-0029250,yes,CHI,ILB,4,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,K.Fuller,00-0031041,yes,CHI,CB,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C.Jones,00-0031130,yes,CHI,ILB,3,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,S.McManis,00-0027743,yes,CHI,CB,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,J.Jenkins,00-0027979,yes,CHI,DE,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E.Goldman,00-0031551,yes,CHI,NT,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A.Rolle,00-0023443,yes,CHI,SS,2,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,J.Allen,00-0022740,yes,CHI,OLB,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A.Rodgers,00-0023459,no,GB,QB,,,,,,,,,,,,,,,,,,,,,,,,,23,18,0,3,0,0,189,,,,,,,,,,,,,,,,,,8,15,0,0,0,0,35
1,R.Rodgers,00-0031384,no,GB,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,3,0,0,0,27,1,11,0,0,0,0,11
1,J.Starks,00-0027791,no,GB,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,0,0,0,2
1,E.Lacy,00-0030485,no,GB,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,2,0,0,0,14,19,16,2,1,0,0,85
1,J.Jones,00-0025465,no,GB,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,13,4,2,0,0,51,,,,,,,
1,R.Cobb,00-0028002,no,GB,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,5,1,0,0,38,,,,,,,
1,D.Adams,00-0031381,no,GB,WR,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,,,,,,,,,,,,,,,,,25,0,4,0,0,0,59,,,,,,,
1,M.Crosby,00-0025580,no,GB,K,,,,,,,,,,,1,1,37,3,4,0,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,T.Masthay,00-0026664,no,GB,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0,54,2,97,,,,,,,,,,,,,,,,,,,
1,T.Montgomery,00-0032200,no,GB,WR,,,,,,,,,,,,,,,,,,,,35,46,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A.Ripkowski,00-0031612,no,GB,FB,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,S.Richardson,00-0029201,no,GB,CB,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,J.Elliott,00-0030752,no,GB,LB,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,M.Neal,00-0027664,no,GB,OLB,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,S.Barrington,00-0030119,no,GB,ILB,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C.Matthews,00-0027002,no,GB,ILB,0,0,1,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,M.Hyde,00-0030090,no,GB,SS,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,J.Boyd,00-0030093,no,GB,DE,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B.Raji,00-0026985,no,GB,NT,2,0,0,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C.Hayward,00-0029261,no,GB,CB,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,S.Shields,00-0027440,no,GB,CB,1,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D.Randall,00-0032251,no,GB,CB,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,N.Palmer,00-0030104,no,GB,ILB,1,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H.Clinton-Dix,00-0031333,no,GB,FS,1,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,J.Peppers,00-0021140,no,GB,OLB,1,0,0,1.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,M.Daniels,00-0029284,no,GB,DE,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,N.Foles,00-0029567,yes,STL,QB,,,,,,2,0,2,0,-4,,,,,,,,,,,,,,,27,18,0,1,0,0,297,,,,,,,,,,,,,,,,,,4,9,1,1,0,0,11
1,T.Austin,00-0030525,yes,STL,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,75,75,2,1,7,0,2,0,0,0,-2,4,16,16,1,0,0,17
1,B.Cunningham,00-0029795,yes,STL,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0,4,0,0,0,77,16,9,0,0,0,0,45
1,I.Pead,00-0029626,yes,STL,,,,,,,1,0,1,0,0,,,,,,,,,,21,22,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,0,0,0,3
1,S.Bailey,00-0030532,yes,STL,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0,3,0,0,0,58,,,,,,,
1,K.Britt,00-0027006,yes,STL,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0,2,0,0,0,37,,,,,,,
1,L.Kendricks,00-0027985,yes,STL,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,37,2,1,0,0,42,,,,,,,
1,J.Cook,00-0027061,yes,STL,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0,5,0,0,0,85,,,,,,,
1,G.Zuerlein,00-0029621,yes,STL,K,,,,,,,,,,,2,2,37,6,4,0,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,J.Hekker,00-0028872,yes,STL,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,0,55,3,142,,,,,,,,,,,,,,,,,,,
1,T.McDonald,00-0030530,yes,STL,SS,2,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,M.Barron,00-0029670,yes,STL,SS,3,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A.Donald,00-0031388,yes,STL,DT,4,0,0,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A.Ogletree,00-0030527,yes,STL,OLB,2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,L.Joyner,00-0031389,yes,STL,CB,0,0,0,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,J.Laurinaitis,00-0027011,yes,STL,MLB,3,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,T.Johnson,00-0029690,yes,STL,CB,0,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C.Long,00-0026142,yes,STL,DE,2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,J.Jenkins,00-0029681,yes,STL,CB,1,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,R.McLeod,00-0028899,yes,STL,FS,3,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,R.Quinn,00-0027952,yes,STL,DE,2,0,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,N.Fairley,00-0027951,yes,STL,DT,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A.Ayers,00-0027977,yes,STL,OLB,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E.Sims,00-0027787,yes,STL,DE,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,W.Hayes,00-0026243,yes,STL,DE,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,M.Roberson,00-0030982,yes,STL,CB,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,M.Brockers,00-0029630,yes,STL,DT,6,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,R.Wilson,00-0029263,no,SEA,QB,,,,,,,,,,,,,,,,,,,,,,,,,41,32,1,1,0,0,251,,,,,,,,,,,,,,,,,,8,10,0,0,0,0,31
1,M.Lynch,00-0025399,no,SEA,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0,5,0,0,0,31,18,24,0,0,1,1,73
1,D.Coleman,00-0029068,no,SEA,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,0,0,2
1,F.Jackson,00-0024204,no,SEA,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0,1,0,0,0,16,3,7,0,0,0,0,13
1,T.Rawls,00-0031897,no,SEA,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,0,0,0,5
1,D.Baldwin,00-0028434,no,SEA,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,7,0,0,0,35,,,,,,,
1,J.Kearse,00-0029159,no,SEA,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0,8,0,0,0,76,,,,,,,
1,C.Matthews,00-0028702,no,SEA,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,1,0,0,0,8,,,,,,,
1,T.Lockett,00-0032211,no,SEA,WR,,,,,,,,,,,,,,,,,,,,28,35,0,2,0,,,,,,,,,,,,,31,57,57,2,1,12,0,4,0,0,0,34,,,,,,,
1,J.Graham,00-0027696,no,SEA,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,7,6,1,0,0,51,,,,,,,
1,C.Williams,00-0026369,no,SEA,CB,0,1,0,1,3,0,0,0,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B.Irvin,00-0029193,no,SEA,OLB,2,0,0,0,2,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,J.Hill,00-0030072,no,SEA,DT,0,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,S.Hauschka,00-0025944,no,SEA,K,,,,,,,,,,,3,3,35,9,2,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,J.Ryan,00-0023742,no,SEA,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,2,61,4,195,,,,,,,,,,,,,,,,,,,
1,C.Marsh,00-0031175,no,SEA,DE,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,K.Wright,00-0028037,no,SEA,OLB,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,R.Sherman,00-0028092,no,SEA,CB,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A.Rubin,00-0026330,no,SEA,DT,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C.Avril,00-0026232,no,SEA,DE,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E.Thomas,00-0027866,no,SEA,FS,3,1,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,M.Bennett,00-0026618,no,SEA,DE,0,0,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
